Total electricity consumption by end-use,,
GWh,,
Eurostat,,
country,end_use,Value
Bulgaria,total,11953
Croatia,total,6503
Czechia,total,17260
Hungary,total,13029
Poland,total,30590
Romania,total,14244
Slovakia,total,5968
Slovenia,total,3803
Bulgaria,space_heating,1365
Croatia,space_heating,258
Czechia,space_heating,3547
Hungary,space_heating,1136
Poland,space_heating,1389
Romania,space_heating,123
Slovakia,space_heating,1810
Slovenia,space_heating,653
Bulgaria,cooling,132
Croatia,cooling,549
Czechia,cooling,78
Hungary,cooling,235
Poland,cooling,0
Romania,cooling,324
Slovakia,cooling,38
Slovenia,cooling,120
Bulgaria,hot_water,2934.418
Croatia,hot_water,1269.81
Czechia,hot_water,3040.873
Hungary,hot_water,3393.153
Poland,hot_water,2151
Romania,hot_water,273.908
Slovakia,hot_water,271.4
Slovenia,hot_water,623.936
