Electricity production capacities for solar PV (net maximum electrical capacity),,
MW,,
SolarPower,,
country,timeline,Value
Bulgaria,2020,18
Bulgaria,2021,28
Bulgaria,2022,42
Bulgaria,2023,92
Croatia,2020,56
Croatia,2021,69
Croatia,2022,104
Croatia,2023,233
Czechia,2020,142
Czechia,2021,189
Czechia,2022,426
Czechia,2023,1189
Hungary,2020,326
Hungary,2021,642
Hungary,2022,1043
Hungary,2023,1625
Poland,2020,2476
Poland,2021,5157
Poland,2022,7849
Poland,2023,9238
Romania,2020,22
Romania,2021,93
Romania,2022,325
Romania,2023,887
Slovakia,2020,28
Slovakia,2021,32
Slovakia,2022,48
Slovakia,2023,232
Slovenia,2020,68
Slovenia,2021,146
Slovenia,2022,271
Slovenia,2023,623
