Cumulative number of residential batteries by country,,
-,,
SolarPower,,
country,pv_hist_year,Value
Bulgaria,2020,3913
Bulgaria,2021,5833
Bulgaria,2022,8400
Bulgaria,2023,17358
Croatia,2020,10769
Croatia,2021,13019
Croatia,2022,18571
Croatia,2023,40172
Czechia,2020,28400
Czechia,2021,35000
Czechia,2022,65538
Czechia,2023,169857
Hungary,2020,59273
Hungary,2021,103548
Hungary,2022,163014
Hungary,2023,250045
Poland,2020,495200
Poland,2021,920893
Poland,2022,1171493
Poland,2023,1248378
Romania,2020,4400
Romania,2021,17547
Romania,2022,56034
Romania,2023,138594
Slovakia,2020,5490
Slovakia,2021,6154
Slovakia,2022,8571
Slovakia,2023,38033
Slovenia,2020,13600
Slovenia,2021,28627
Slovenia,2022,50185
Slovenia,2023,109298
