Size of solar PV system,,,,
kW,,,,
Based on Solar Power EU,,,,
country,profile_type,cons_size,azimuth,Value
Bulgaria,cooling,large,-45,7.373895088
Bulgaria,cooling,large,0,7.373895088
Bulgaria,cooling,large,45,7.373895088
Bulgaria,cooling,medium,-45,4.915930059
Bulgaria,cooling,medium,0,4.915930059
Bulgaria,cooling,medium,45,4.915930059
Bulgaria,cooling,small,-45,3.686947544
Bulgaria,cooling,small,0,3.686947544
Bulgaria,cooling,small,45,3.686947544
Bulgaria,heating,large,-45,7.054874143
Bulgaria,heating,large,0,7.054874143
Bulgaria,heating,large,45,7.054874143
Bulgaria,heating,medium,-45,4.703249429
Bulgaria,heating,medium,0,4.703249429
Bulgaria,heating,medium,45,4.703249429
Bulgaria,heating,small,-45,3.527437071
Bulgaria,heating,small,0,3.527437071
Bulgaria,heating,small,45,3.527437071
Bulgaria,normal,large,-45,6.091426642
Bulgaria,normal,large,0,6.091426642
Bulgaria,normal,large,45,6.091426642
Bulgaria,normal,medium,-45,4.060951095
Bulgaria,normal,medium,0,4.060951095
Bulgaria,normal,medium,45,4.060951095
Bulgaria,normal,small,-45,3.045713321
Bulgaria,normal,small,0,3.045713321
Bulgaria,normal,small,45,3.045713321
Croatia,cooling,large,-45,7.656052546
Croatia,cooling,large,0,7.656052546
Croatia,cooling,large,45,7.656052546
Croatia,cooling,medium,-45,5.10403503
Croatia,cooling,medium,0,5.10403503
Croatia,cooling,medium,45,5.10403503
Croatia,cooling,small,-45,3.828026272
Croatia,cooling,small,0,3.828026272
Croatia,cooling,small,45,3.828026272
Croatia,heating,large,-45,7.329336416
Croatia,heating,large,0,7.329336416
Croatia,heating,large,45,7.329336416
Croatia,heating,medium,-45,4.886224278
Croatia,heating,medium,0,4.886224278
Croatia,heating,medium,45,4.886224278
Croatia,heating,small,-45,3.664668208
Croatia,heating,small,0,3.664668208
Croatia,heating,small,45,3.664668208
Croatia,normal,large,-45,6.340014222
Croatia,normal,large,0,6.340014222
Croatia,normal,large,45,6.340014222
Croatia,normal,medium,-45,4.226676148
Croatia,normal,medium,0,4.226676148
Croatia,normal,medium,45,4.226676148
Croatia,normal,small,-45,3.170007111
Croatia,normal,small,0,3.170007111
Croatia,normal,small,45,3.170007111
Czechia,cooling,large,-45,9.845067546
Czechia,cooling,large,0,9.845067546
Czechia,cooling,large,45,9.845067546
Czechia,cooling,medium,-45,6.563378363
Czechia,cooling,medium,0,6.563378363
Czechia,cooling,medium,45,6.563378363
Czechia,cooling,small,-45,4.922533771
Czechia,cooling,small,0,4.922533771
Czechia,cooling,small,45,4.922533771
Czechia,heating,large,-45,9.513046139
Czechia,heating,large,0,9.513046139
Czechia,heating,large,45,9.513046139
Czechia,heating,medium,-45,6.34203076
Czechia,heating,medium,0,6.34203076
Czechia,heating,medium,45,6.34203076
Czechia,heating,small,-45,4.75652307
Czechia,heating,small,0,4.75652307
Czechia,heating,small,45,4.75652307
Czechia,normal,large,-45,8.13172629
Czechia,normal,large,0,8.13172629
Czechia,normal,large,45,8.13172629
Czechia,normal,medium,-45,5.42115086
Czechia,normal,medium,0,5.42115086
Czechia,normal,medium,45,5.42115086
Czechia,normal,small,-45,4.065863145
Czechia,normal,small,0,4.065863145
Czechia,normal,small,45,4.065863145
Hungary,cooling,large,-45,9.119300166
Hungary,cooling,large,0,9.119300166
Hungary,cooling,large,45,9.119300166
Hungary,cooling,medium,-45,6.079533446
Hungary,cooling,medium,0,6.079533446
Hungary,cooling,medium,45,6.079533446
Hungary,cooling,small,-45,4.559650085
